Year,N_devices,Absorber_H_bits,Absorber_unique,Absorber_top1_frac,HTL_H_bits,HTL_unique,HTL_top1_frac,ETL_H_bits,ETL_unique,ETL_top1_frac
2012,19,0.297,2,0.947,0.774,3,0.842,1.402,4,0.500
2013,226,0.537,4,0.912,2.165,20,0.629,2.423,18,0.465
2014,1543,0.709,17,0.911,3.160,94,0.449,3.108,64,0.382
2015,3532,0.715,28,0.915,2.733,154,0.526,3.179,108,0.380
2016,6211,1.683,75,0.782,3.150,297,0.494,3.497,217,0.340
2017,8028,2.257,96,0.683,3.349,388,0.519,3.597,249,0.332
2018,10621,2.850,159,0.582,3.675,529,0.473,3.824,292,0.285
2019,10635,3.259,196,0.467,3.878,549,0.460,3.843,352,0.273
2020,1927,3.922,106,0.282,3.974,142,0.333,3.766,105,0.239
2021,951,4.037,86,0.252,4.324,149,0.346,3.782,73,0.231
2022,1172,4.029,67,0.252,3.733,102,0.332,3.507,82,0.218
2023,1271,4.453,85,0.172,3.481,144,0.485,3.479,107,0.304
2024,1572,4.346,101,0.156,3.697,156,0.462,3.604,131,0.306
2025,657,3.833,44,0.174,4.155,101,0.339,3.214,53,0.252
